Genotype,Population,Pedigree,Tester,Plotcode,LOC,IncBlockNo.,Rep,DMY,DMC,PH,DtTAS,DtSILK,NBPL
CFD10-146,CFD10,F353 x UH250,UH007,986,INR,B99,R2,223.1,42.9,263,87,87,77
CFD10-133,CFD10,F353 x UH250,UH007,987,INR,B99,R2,177.9,46,261,87,87,80
CFD03-083,CFD03,F353 x D06,UH007,988,INR,B99,R2,176.2,47.2,248,84,84,72
CFD12-041,CFD12,F353 x W117,UH007,989,INR,B99,R2,151.2,41.1,235,85,87,74
CFD07-314,CFD07,F353 x F618,UH007,990,INR,B99,R2,167.6,45.7,238,86,85,80
CFD09-313,CFD09,F353 x Mo17,UH007,991,INR,B100,R2,98.5,39.3,232,89,92,80
CFD03-047,CFD03,F353 x D06,UH007,992,INR,B100,R2,194.5,46.9,241,83,82,73
CFD04-048,CFD04,F353 x D09,UH007,993,INR,B100,R2,171.7,47.7,216,79,81,80
CFD05-318,CFD05,F353 x EC169,UH007,994,INR,B100,R2,184.8,46.5,233,83,84,80
CFD06-312,CFD06,F353 x F252,UH007,995,INR,B100,R2,192,46,244,83,83,80
CFD07-017,CFD07,F353 x F618,UH007,996,INR,B100,R2,194.9,43,238,85,86,80
CFD04-311,CFD04,F353 x D09,UH007,997,INR,B100,R2,164.3,46.5,246,83,85,78
CFD07-125,CFD07,F353 x F618,UH007,998,INR,B100,R2,184.1,43.7,249,87,87,78
CFD06-024,CFD06,F353 x F252,UH007,999,INR,B100,R2,185,48,237,84,84,79
CFD08-332,CFD08,F353 x F98902,UH007,1000,INR,B100,R2,183,44.7,243,83,83,74
CFD04-307,CFD04,F353 x D09,UH007,1001,INR,B101,R2,158,47.6,234,83,84,75
CFD04-046,CFD04,F353 x D09,UH007,1002,INR,B101,R2,198.3,44,239,87,87,79
CFD09-327,CFD09,F353 x Mo17,UH007,1003,INR,B101,R2,184.5,41.8,247,87,87,79
CFD08-329,CFD08,F353 x F98902,UH007,1004,INR,B101,R2,172.7,45.3,226,83,85,78
CFD07-329,CFD07,F353 x F618,UH007,1005,INR,B101,R2,200.7,39.2,239,86,86,80
CFD08-319,CFD08,F353 x F98902,UH007,1006,INR,B101,R2,214.4,43.1,243,83,85,78
CFD10-319,CFD10,F353 x UH250,UH007,1007,INR,B101,R2,69.7,47.1,236,83,83,20
CFD11-005,CFD11,F353 x UH304,UH007,1008,INR,B101,R2,241.3,43.2,259,85,85,80
CFD07-319,CFD07,F353 x F618,UH007,1009,INR,B101,R2,155.3,41.3,234,87,88,78
CFD03-348,CFD03,F353 x D06,UH007,1010,INR,B101,R2,176.6,44.3,241,83,83,73
CFD04-116,CFD04,F353 x D09,UH007,1011,INR,B102,R2,185.6,43.1,249,83,84,80
CFD09-336,CFD09,F353 x Mo17,UH007,1012,INR,B102,R2,139.7,42.6,233,87,87,74
CFD04-317,CFD04,F353 x D09,UH007,1013,INR,B102,R2,209.2,46.7,236,83,83,78
CFD11-320,CFD11,F353 x UH304,UH007,1014,INR,B102,R2,184.4,46.4,238,83,82,78
CFD09-097,CFD09,F353 x Mo17,UH007,1015,INR,B102,R2,144.7,40.8,232,88,88,80
CFD06-070,CFD06,F353 x F252,UH007,1016,INR,B102,R2,182.9,43.4,241,84,85,80
CFD12-331,CFD12,F353 x W117,UH007,1017,INR,B102,R2,183.4,43.4,238,85,85,80
CFD06-079,CFD06,F353 x F252,UH007,1018,INR,B102,R2,169.7,48.2,232,83,83,76
CFD03-045,CFD03,F353 x D06,UH007,1019,INR,B102,R2,189.8,43.8,248,85,85,80
MO17,MO17,MO17,UH007,1020,INR,B102,R2,121.1,32.1,240,NA,NA,70
CFD10-314,CFD10,F353 x UH250,UH007,1021,INR,B103,R2,176.1,45.7,232,85,85,80
A287,NA,NA,UH007,1022,INR,B103,R2,254.4,40,245,89,90,78
CFD12-303,CFD12,F353 x W117,UH007,1023,INR,B103,R2,159.1,48.1,216,81,82,71
CFD10-323,CFD10,F353 x UH250,UH007,1024,INR,B103,R2,167.1,44.6,224,84,84,80
CFD10-008,CFD10,F353 x UH250,UH007,1025,INR,B103,R2,160.1,44.8,239,84,86,79
F252,F252,F252,UH007,1026,INR,B103,R2,185.8,50.3,239,83,82,80
CFD12-050,CFD12,F353 x W117,UH007,1027,INR,B103,R2,181.9,43.3,246,85,85,79
CFD03-341,CFD03,F353 x D06,UH007,1028,INR,B103,R2,212,46.5,248,86,86,79
CFD06-343,CFD06,F353 x F252,UH007,1029,INR,B103,R2,169.6,48,249,83,83,77
CFD12-334,CFD12,F353 x W117,UH007,1030,INR,B103,R2,156.6,42.4,236,85,86,79
CFD06-085,CFD06,F353 x F252,UH007,1031,INR,B104,R2,170,45.2,239,83,84,74
CFD07-121,CFD07,F353 x F618,UH007,1032,INR,B104,R2,197.5,41.6,247,87,87,79
CFD08-325,CFD08,F353 x F98902,UH007,1033,INR,B104,R2,185.8,46.6,245,85,85,79
CFD07-333,CFD07,F353 x F618,UH007,1034,INR,B104,R2,167,43.5,222,86,86,80
CFD12-020,CFD12,F353 x W117,UH007,1035,INR,B104,R2,158.9,45.3,222,84,84,76
CFD10-132,CFD10,F353 x UH250,UH007,1036,INR,B104,R2,175.7,43.5,230,85,85,80
CFD11-310,CFD11,F353 x UH304,UH007,1037,INR,B104,R2,171.9,44,245,83,83,80
CFD06-011,CFD06,F353 x F252,UH007,1038,INR,B104,R2,174.2,48.4,258,83,85,80
CFD07-005,CFD07,F353 x F618,UH007,1039,INR,B104,R2,199.5,41,251,87,86,80
CFD08-347,CFD08,F353 x F98902,UH007,1040,INR,B104,R2,183.7,43.6,228,87,87,78
CFD06-303,CFD06,F353 x F252,UH007,1041,INR,B105,R2,141.1,45.8,214,81,81,80
CFD05-036,CFD05,F353 x EC169,UH007,1042,INR,B105,R2,173.2,43.3,237,83,85,77
CFD11-307,CFD11,F353 x UH304,UH007,1043,INR,B105,R2,200.6,43.1,243,84,84,80
CFD05-306,CFD05,F353 x EC169,UH007,1044,INR,B105,R2,166.6,45.1,247,84,84,80
CFD06-313,CFD06,F353 x F252,UH007,1045,INR,B105,R2,160.3,44.2,239,83,84,77
CFD12-333,CFD12,F353 x W117,UH007,1046,INR,B105,R2,179.7,43.2,222,83,83,80
CFD07-083,CFD07,F353 x F618,UH007,1047,INR,B105,R2,205.8,41.6,230,87,87,79
CFD10-153,CFD10,F353 x UH250,UH007,1048,INR,B105,R2,170.3,43.9,223,86,87,80
CFD03-311,CFD03,F353 x D06,UH007,1049,INR,B105,R2,178.6,42.4,248,83,85,78
CFD11-048,CFD11,F353 x UH304,UH007,1050,INR,B105,R2,184,47.1,248,83,83,79
CFD11-053,CFD11,F353 x UH304,UH007,1051,INR,B106,R2,191.5,47.4,251,83,83,80
CFD06-066,CFD06,F353 x F252,UH007,1052,INR,B106,R2,198.9,46.9,253,83,84,80
CFD03-326,CFD03,F353 x D06,UH007,1053,INR,B106,R2,193,43.6,260,83,84,79
CFD12-022,CFD12,F353 x W117,UH007,1054,INR,B106,R2,NA,44.1,231,85,85,70
CFD10-093,CFD10,F353 x UH250,UH007,1055,INR,B106,R2,170.8,47.1,242,84,85,80
CFD08-334,CFD08,F353 x F98902,UH007,1056,INR,B106,R2,209.7,44.3,236,85,85,79
CFD03-006,CFD03,F353 x D06,UH007,1057,INR,B106,R2,163.2,41.2,267,86,86,51
CFD03-043,CFD03,F353 x D06,UH007,1058,INR,B106,R2,185.7,41.2,249,85,85,76
CFD06-080,CFD06,F353 x F252,UH007,1059,INR,B106,R2,177,46.1,246,84,85,77
CFD04-324,CFD04,F353 x D09,UH007,1060,INR,B106,R2,182.9,44.1,223,83,83,80
CFD08-370,CFD08,F353 x F98902,UH007,1061,INR,B107,R2,199.1,44.3,236,85,85,80
CFD10-063,CFD10,F353 x UH250,UH007,1062,INR,B107,R2,179.3,43.8,234,87,87,80
CFD11-323,CFD11,F353 x UH304,UH007,1063,INR,B107,R2,183.3,43.1,235,85,85,77
CFD12-069,CFD12,F353 x W117,UH007,1064,INR,B107,R2,191.6,42.4,234,85,86,78
CFD03-053,CFD03,F353 x D06,UH007,1065,INR,B107,R2,201.1,41.9,261,87,87,73
CFD06-088,CFD06,F353 x F252,UH007,1066,INR,B107,R2,180.1,46.1,264,85,85,75
CFD08-341,CFD08,F353 x F98902,UH007,1067,INR,B107,R2,NA,43.5,256,84,84,76
CFD06-093,CFD06,F353 x F252,UH007,1068,INR,B107,R2,155,50.1,225,82,82,79
CFD02-077,CFD02,F353 x B73,UH007,1069,INR,B107,R2,210.2,43.8,244,86,86,80
CFD10-007,CFD10,F353 x UH250,UH007,1070,INR,B107,R2,154.9,42.7,222,84,87,80
CFD02-048,CFD02,F353 x B73,UH007,1071,INR,B108,R2,200,39.9,244,89,90,80
CFD10-145,CFD10,F353 x UH250,UH007,1072,INR,B108,R2,150,46.1,227,83,83,79
CFD08-368,CFD08,F353 x F98902,UH007,1073,INR,B108,R2,201.2,47.6,238,86,86,75
CFD12-098,CFD12,F353 x W117,UH007,1074,INR,B108,R2,NA,44.1,216,84,84,80
CFD08-345,CFD08,F353 x F98902,UH007,1075,INR,B108,R2,185.4,44.7,235,83,85,80
CFD12-332,CFD12,F353 x W117,UH007,1076,INR,B108,R2,182.2,41.4,250,84,84,78
CFD12-075,CFD12,F353 x W117,UH007,1077,INR,B108,R2,170.2,39.9,253,85,85,78
CFD04-336,CFD04,F353 x D09,UH007,1078,INR,B108,R2,181,43.5,238,86,86,78
CFD03-322,CFD03,F353 x D06,UH007,1079,INR,B108,R2,202.9,44.1,243,87,86,79
CFD06-002,CFD06,F353 x F252,UH007,1080,INR,B108,R2,160.2,45,234,83,84,80
CFD10-111,CFD10,F353 x UH250,UH007,1081,INR,B109,R2,160.4,43.6,226,83,84,80
CFD10-006,CFD10,F353 x UH250,UH007,1082,INR,B109,R2,175.5,39.4,234,88,90,77
CFD03-313,CFD03,F353 x D06,UH007,1083,INR,B109,R2,167.3,46.3,235,83,83,79
CFD03-345,CFD03,F353 x D06,UH007,1084,INR,B109,R2,160.4,48.5,206,79,81,80
CFD06-344,CFD06,F353 x F252,UH007,1085,INR,B109,R2,183.8,45.2,246,85,85,78
CFD03-054,CFD03,F353 x D06,UH007,1086,INR,B109,R2,193.4,43.7,262,86,86,73
CFD05-035,CFD05,F353 x EC169,UH007,1087,INR,B109,R2,NA,46,240,84,85,80
CFD08-333,CFD08,F353 x F98902,UH007,1088,INR,B109,R2,203.2,46.9,234,83,83,80
CFD09-115,CFD09,F353 x Mo17,UH007,1089,INR,B109,R2,153.1,39.2,220,92,94,80
A287,NA,NA,UH007,1090,INR,B109,R2,243,39.7,243.5,89,90,80
CFD04-322,CFD04,F353 x D09,UH007,1091,INR,B110,R2,199.1,47.4,241,85,85,77
CFD03-304,CFD03,F353 x D06,UH007,1092,INR,B110,R2,166.3,46.2,233,79,79,78
CFD03-064,CFD03,F353 x D06,UH007,1093,INR,B110,R2,199.9,47.3,247,82,81,80
EC169,EC169,EC169,UH007,1094,INR,B110,R2,161.9,48,218,84,84,78
CFD12-342,CFD12,F353 x W117,UH007,1095,INR,B110,R2,165.9,45.4,215,84,85,78
CFD09-078,CFD09,F353 x Mo17,UH007,1096,INR,B110,R2,143.9,42,238,83,84,79
CFD08-077,CFD08,F353 x F98902,UH007,1097,INR,B110,R2,177.2,44.6,240,85,84,79
CFD07-306,CFD07,F353 x F618,UH007,1098,INR,B110,R2,183.6,42.5,239,85,87,80
CFD03-016,CFD03,F353 x D06,UH007,1099,INR,B110,R2,200.1,44.4,249,87,87,80
B73,B73,B73,UH007,1100,INR,B110,R2,135.7,30.2,232,93,94,78
CFD03-330,CFD03,F353 x D06,UH007,1101,INR,B111,R2,216.7,42,239,84,85,79
CFD05-029,CFD05,F353 x EC169,UH007,1102,INR,B111,R2,155.9,44.8,234,85,85,76
CFD12-049,CFD12,F353 x W117,UH007,1103,INR,B111,R2,120.9,48.5,201,81,79,70
CFD04-337,CFD04,F353 x D09,UH007,1104,INR,B111,R2,179.9,43.1,249,85,85,73
CFD11-336,CFD11,F353 x UH304,UH007,1105,INR,B111,R2,218.9,42.2,247,86,86,73
CFD12-065,CFD12,F353 x W117,UH007,1106,INR,B111,R2,155.2,45.3,228,83,84,80
CFD07-067,CFD07,F353 x F618,UH007,1107,INR,B111,R2,187.2,42.8,243,87,87,78
CFD12-340,CFD12,F353 x W117,UH007,1108,INR,B111,R2,164.7,41.6,225,85,86,78
CFD04-060,CFD04,F353 x D09,UH007,1109,INR,B111,R2,199,49.1,228,83,84,78
CFD06-321,CFD06,F353 x F252,UH007,1110,INR,B111,R2,174,47.1,251,84,85,80
CFD09-323,CFD09,F353 x Mo17,UH007,1111,INR,B112,R2,142.5,37.5,229,92,95,80
D09,D09,D09,UH007,1112,INR,B112,R2,188.1,49.5,221,81,81,80
CFD09-326,CFD09,F353 x Mo17,UH007,1113,INR,B112,R2,129.1,44,226,87,86,80
CFD08-044,CFD08,F353 x F98902,UH007,1114,INR,B112,R2,191.9,42.7,250,87,87,80
F252,F252,F252,UH007,1115,INR,B112,R2,191.7,50.1,240,82,82,79
CFD05-072,CFD05,F353 x EC169,UH007,1116,INR,B112,R2,166.8,42.7,222,87,85,77
CFD10-097,CFD10,F353 x UH250,UH007,1117,INR,B112,R2,205,42.7,240,87,86,80
CFD02-024,CFD02,F353 x B73,UH007,1118,INR,B112,R2,182.9,40.7,241,87,87,80
CFD03-057,CFD03,F353 x D06,UH007,1119,INR,B112,R2,200.1,41.8,249,85,85,72
CFD06-077,CFD06,F353 x F252,UH007,1120,INR,B112,R2,149.5,47.3,230,82,82,80
CFD09-312,CFD09,F353 x Mo17,UH007,1121,INR,B113,R2,130.8,39.4,225,88,88,78
CFD10-152,CFD10,F353 x UH250,UH007,1122,INR,B113,R2,193.1,44.3,238,86,85,80
CFD07-014,CFD07,F353 x F618,UH007,1123,INR,B113,R2,199.6,39.4,246,87,87,80
CFD11-004,CFD11,F353 x UH304,UH007,1124,INR,B113,R2,199.8,42.1,248,84,84,78
CFD04-095,CFD04,F353 x D09,UH007,1125,INR,B113,R2,202.8,45.4,254,81,82,80
CFD04-114,CFD04,F353 x D09,UH007,1126,INR,B113,R2,203.7,50.6,246,83,82,78
CFD06-302,CFD06,F353 x F252,UH007,1127,INR,B113,R2,194.8,49.7,233,82,81,79
CFD04-318,CFD04,F353 x D09,UH007,1128,INR,B113,R2,140,47.1,240,83,81,51
CFD07-311,CFD07,F353 x F618,UH007,1129,INR,B113,R2,190.8,43.9,245,85,86,79
CFD04-102,CFD04,F353 x D09,UH007,1130,INR,B113,R2,207.6,46.9,247,83,82,79
CFD02-041,CFD02,F353 x B73,UH007,1131,INR,B114,R2,161.3,42.9,241,83,84,79
CFD10-108,CFD10,F353 x UH250,UH007,1132,INR,B114,R2,164.5,43.6,248,85,85,72
CFD12-324,CFD12,F353 x W117,UH007,1133,INR,B114,R2,153.6,41.9,245,84,84,78
A287,NA,NA,UH007,1134,INR,B114,R2,264.2,41.9,252,88,88,80
CFD10-149,CFD10,F353 x UH250,UH007,1135,INR,B114,R2,133.2,45,228,83,84,76
CFD10-301,CFD10,F353 x UH250,UH007,1136,INR,B114,R2,192.1,43.8,221,81,81,80
CFD04-098,CFD04,F353 x D09,UH007,1137,INR,B114,R2,170.5,44.1,237,83,83,80
CFD02-061,CFD02,F353 x B73,UH007,1138,INR,B114,R2,200,39.9,262,87,87,75
CFD10-136,CFD10,F353 x UH250,UH007,1139,INR,B114,R2,175.4,44.3,239,85,85,76
CFD05-006,CFD05,F353 x EC169,UH007,1140,INR,B114,R2,157.9,41.7,238,87,88,70
CFD07-108,CFD07,F353 x F618,UH007,1141,INR,B115,R2,166.8,43.3,228,86,85,80
CFD04-079,CFD04,F353 x D09,UH007,1142,INR,B115,R2,210.6,44.5,255,86,87,80
CFD11-313,CFD11,F353 x UH304,UH007,1143,INR,B115,R2,175.3,46.8,218,83,82,79
CFD10-019,CFD10,F353 x UH250,UH007,1144,INR,B115,R2,157.8,45.7,217,85,85,69
CFD07-037,CFD07,F353 x F618,UH007,1145,INR,B115,R2,205.3,41.4,226,87,87,80
CFD07-036,CFD07,F353 x F618,UH007,1146,INR,B115,R2,202.1,43.3,231,87,86,80
CFD07-316,CFD07,F353 x F618,UH007,1147,INR,B115,R2,191.2,41.2,246,87,87,78
CFD06-007,CFD06,F353 x F252,UH007,1148,INR,B115,R2,186.3,46.9,235,83,83,79
CFD09-315,CFD09,F353 x Mo17,UH007,1149,INR,B115,R2,206.8,40.5,242,92,90,80
CFD04-304,CFD04,F353 x D09,UH007,1150,INR,B115,R2,152.8,46.6,212,82,81,80
CFD12-087,CFD12,F353 x W117,UH007,1151,INR,B116,R2,147.2,46,237,83,84,76
CFD04-034,CFD04,F353 x D09,UH007,1152,INR,B116,R2,184,46.3,227,83,82,75
CFD08-034,CFD08,F353 x F98902,UH007,1153,INR,B116,R2,183.3,44.5,245,85,85,76
CFD07-072,CFD07,F353 x F618,UH007,1154,INR,B116,R2,190.9,42.1,227,87,87,80
CFD08-309,CFD08,F353 x F98902,UH007,1155,INR,B116,R2,207.5,47.3,245,83,82,79
CFD03-046,CFD03,F353 x D06,UH007,1156,INR,B116,R2,193.2,43,252,85,87,80
CFD03-072,CFD03,F353 x D06,UH007,1157,INR,B116,R2,183.6,42.9,241,87,87,77
CFD08-359,CFD08,F353 x F98902,UH007,1158,INR,B116,R2,165.2,40.5,233,87,88,80
CFD03-041,CFD03,F353 x D06,UH007,1159,INR,B116,R2,167.2,43.7,227,87,87,74
CFD04-092,CFD04,F353 x D09,UH007,1160,INR,B116,R2,157.7,43.8,225,83,84,78
CFD06-310,CFD06,F353 x F252,UH007,1161,INR,B117,R2,156.1,46.1,242,85,85,76
A287,NA,NA,UH007,1162,INR,B117,R2,252.3,38.7,246,90,91,80
CFD07-309,CFD07,F353 x F618,UH007,1163,INR,B117,R2,174.9,43,246,85,85,80
CFD10-142,CFD10,F353 x UH250,UH007,1164,INR,B117,R2,148.5,46.2,230,85,86,69
CFD12-322,CFD12,F353 x W117,UH007,1165,INR,B117,R2,169.4,46.2,216,82,81,78
CFD03-314,CFD03,F353 x D06,UH007,1166,INR,B117,R2,184.8,44.7,250,84,84,74
CFD06-332,CFD06,F353 x F252,UH007,1167,INR,B117,R2,169.6,49.5,231,83,82,78
CFD04-103,CFD04,F353 x D09,UH007,1168,INR,B117,R2,209.7,48.7,256,85,85,80
CFD07-324,CFD07,F353 x F618,UH007,1169,INR,B117,R2,187.5,43,230,85,85,79
CFD05-025,CFD05,F353 x EC169,UH007,1170,INR,B117,R2,167.2,46.8,237,84,84,80
CFD06-091,CFD06,F353 x F252,UH007,1171,INR,B118,R2,136.5,47.4,229,83,85,74
CFD02-317,CFD02,F353 x B73,UH007,1172,INR,B118,R2,191,39.9,245,88,89,80
CFD05-316,CFD05,F353 x EC169,UH007,1173,INR,B118,R2,170.7,48.5,234,85,85,80
CFD05-016,CFD05,F353 x EC169,UH007,1174,INR,B118,R2,152.7,44.9,241,87,87,74
CFD10-117,CFD10,F353 x UH250,UH007,1175,INR,B118,R2,151.9,45.4,232,83,84,80
CFD12-341,CFD12,F353 x W117,UH007,1176,INR,B118,R2,180.3,43.2,228,86,86,76
CFD05-060,CFD05,F353 x EC169,UH007,1177,INR,B118,R2,161.5,42.5,247,87,87,79
A287,NA,NA,UH007,1178,INR,B118,R2,232.5,39.1,238.5,90,92,80
CFD02-308,CFD02,F353 x B73,UH007,1179,INR,B118,R2,148.1,39.1,224,92,91,77
CFD07-120,CFD07,F353 x F618,UH007,1180,INR,B118,R2,169,39.6,230,87,88,80
CFD12-302,CFD12,F353 x W117,UH007,1181,INR,B119,R2,164.4,51.6,231,87,86,78
CFD09-068,CFD09,F353 x Mo17,UH007,1182,INR,B119,R2,165.5,43.1,242,88,88,78
CFD07-124,CFD07,F353 x F618,UH007,1183,INR,B119,R2,185.6,42.7,230,87,88,77
CFD05-013,CFD05,F353 x EC169,UH007,1184,INR,B119,R2,133.3,49,230,84,85,80
CFD09-102,CFD09,F353 x Mo17,UH007,1185,INR,B119,R2,153,38.9,220,92,92,80
CFD04-315,CFD04,F353 x D09,UH007,1186,INR,B119,R2,198.4,46.8,231,83,83,78
CFD11-058,CFD11,F353 x UH304,UH007,1187,INR,B119,R2,189.5,42.8,237,84,85,77
CFD06-323,CFD06,F353 x F252,UH007,1188,INR,B119,R2,174.7,45.5,244,84,85,79
CFD03-048,CFD03,F353 x D06,UH007,1189,INR,B119,R2,199.1,44.7,245,86,86,79
CFD07-326,CFD07,F353 x F618,UH007,1190,INR,B119,R2,197,37.6,245,90,95,80
CFD10-071,CFD10,F353 x UH250,UH007,1191,INR,B120,R2,144.4,44.2,224,83,84,80
CFD12-339,CFD12,F353 x W117,UH007,1192,INR,B120,R2,167.4,41.3,234,87,87,80
CFD10-330,CFD10,F353 x UH250,UH007,1193,INR,B120,R2,183.8,42.8,239,88,87,80
CFD06-314,CFD06,F353 x F252,UH007,1194,INR,B120,R2,194.7,46.2,245,86,86,80
CFD03-306,CFD03,F353 x D06,UH007,1195,INR,B120,R2,186.7,42.3,244,84,85,80
CFD08-362,CFD08,F353 x F98902,UH007,1196,INR,B120,R2,201.4,43.9,242,85,87,79
CFD09-046,CFD09,F353 x Mo17,UH007,1197,INR,B120,R2,158.6,35.5,239,92,95,75
CFD07-114,CFD07,F353 x F618,UH007,1198,INR,B120,R2,170.4,45,223,85,85,77
CFD10-121,CFD10,F353 x UH250,UH007,1199,INR,B120,R2,179,40.2,240,89,90,80
CFD09-332,CFD09,F353 x Mo17,UH007,1200,INR,B120,R2,188.5,35.8,245,92,95,80
CFD10-083,CFD10,F353 x UH250,UH007,1,KWS,B1,R3,203.3,28.8,300,84,85,89
CFD02-053,CFD02,F353 x B73,UH007,2,KWS,B1,R3,230.2,26.4,305,87,85,96
CFD03-303,CFD03,F353 x D06,UH007,3,KWS,B1,R3,174.5,29,280,78,77,87
CFD12-309,CFD12,F353 x W117,UH007,4,KWS,B1,R3,201.2,30.9,290,84,83,93
CFD02-060,CFD02,F353 x B73,UH007,5,KWS,B1,R3,235.1,28.7,310,87,86,98
CFD05-027,CFD05,F353 x EC169,UH007,6,KWS,B1,R3,201.2,31.1,280,85,85,95
CFD05-303,CFD05,F353 x EC169,UH007,7,KWS,B1,R3,192.2,30.8,270,83,83,98
CFD07-095,CFD07,F353 x F618,UH007,8,KWS,B1,R3,196.3,27.3,300,90,89,94
CFD07-306,CFD07,F353 x F618,UH007,9,KWS,B1,R3,197,28.7,310,86,85,93
CFD12-336,CFD12,F353 x W117,UH007,10,KWS,B1,R3,189.2,29.3,310,86,92,89
CFD10-313,CFD10,F353 x UH250,UH007,11,KWS,B2,R3,200.8,30.3,290,87,87,85
CFD08-322,CFD08,F353 x F98902,UH007,12,KWS,B2,R3,187.5,32.6,285,82,83,96
CFD05-016,CFD05,F353 x EC169,UH007,13,KWS,B2,R3,204,31.2,300,85,84,89
CFD07-103,CFD07,F353 x F618,UH007,14,KWS,B2,R3,211.6,27.1,310,86,86,93
CFD12-047,CFD12,F353 x W117,UH007,15,KWS,B2,R3,194.6,29.1,290,82,83,94
CFD09-327,CFD09,F353 x Mo17,UH007,16,KWS,B2,R3,226.3,27.9,310,88,87,91
CFD06-081,CFD06,F353 x F252,UH007,17,KWS,B2,R3,195.1,31.3,305,83,83,91
CFD02-010,CFD02,F353 x B73,UH007,18,KWS,B2,R3,235.2,28.2,310,87,87,93
CFD06-323,CFD06,F353 x F252,UH007,19,KWS,B2,R3,184.4,30.5,310,83,85,90
CFD02-099,CFD02,F353 x B73,UH007,20,KWS,B2,R3,246,27.6,320,90,90,98
CFD02-090,CFD02,F353 x B73,UH007,21,KWS,B3,R3,204.7,28.6,320,86,86,101
CFD08-320,CFD08,F353 x F98902,UH007,22,KWS,B3,R3,209.6,30.6,310,82,82,104
CFD03-320,CFD03,F353 x D06,UH007,23,KWS,B3,R3,215.1,29.5,310,85,90,95
CFD07-327,CFD07,F353 x F618,UH007,24,KWS,B3,R3,199.8,27,300,86,90,94
CFD05-032,CFD05,F353 x EC169,UH007,25,KWS,B3,R3,218.4,34.6,290,83,82,94
CFD09-341,CFD09,F353 x Mo17,UH007,26,KWS,B3,R3,175.2,30.1,290,84,85,95
CFD07-120,CFD07,F353 x F618,UH007,27,KWS,B3,R3,228.5,28.4,310,90,86,89
CFD08-351,CFD08,F353 x F98902,UH007,28,KWS,B3,R3,211.3,29.6,320,86,86,90
CFD09-307,CFD09,F353 x Mo17,UH007,29,KWS,B3,R3,224.8,27.9,320,87,87,96
CFD11-333,CFD11,F353 x UH304,UH007,30,KWS,B3,R3,202.6,32.3,310,82,82,96
CFD09-046,CFD09,F353 x Mo17,UH007,31,KWS,B4,R3,203.4,27.2,320,90,93,90
CFD07-119,CFD07,F353 x F618,UH007,32,KWS,B4,R3,222.7,27.7,310,87,87,92
CFD04-350,CFD04,F353 x D09,UH007,33,KWS,B4,R3,221,30.7,300,83,87,95
CFD03-021,CFD03,F353 x D06,UH007,34,KWS,B4,R3,207.5,32.2,305,84,84,100
CFD12-313,CFD12,F353 x W117,UH007,35,KWS,B4,R3,212.4,30.5,300,84,85,94
CFD08-319,CFD08,F353 x F98902,UH007,36,KWS,B4,R3,200.5,29.2,310,87,87,89
CFD07-063,CFD07,F353 x F618,UH007,37,KWS,B4,R3,222.6,29.9,310,85,90,82
CFD12-099,CFD12,F353 x W117,UH007,38,KWS,B4,R3,185.3,31.3,280,80,80,92
CFD11-335,CFD11,F353 x UH304,UH007,39,KWS,B4,R3,257.1,31.7,310,85,85,96
CFD03-317,CFD03,F353 x D06,UH007,40,KWS,B4,R3,188.7,33.1,280,83,85,94
CFD03-038,CFD03,F353 x D06,UH007,41,KWS,B5,R3,214.4,32.6,305,85,83,87
CFD04-339,CFD04,F353 x D09,UH007,42,KWS,B5,R3,215.6,35.3,300,79,80,91
CFD03-063,CFD03,F353 x D06,UH007,43,KWS,B5,R3,205.7,36.1,310,81,80,97
CFD05-070,CFD05,F353 x EC169,UH007,44,KWS,B5,R3,219.8,37.6,300,83,83,90
CFD09-080,CFD09,F353 x Mo17,UH007,45,KWS,B5,R3,193.9,30.4,280,84,85,87
CFD08-344,CFD08,F353 x F98902,UH007,46,KWS,B5,R3,216.9,32.7,300,84,83,91
CFD06-026,CFD06,F353 x F252,UH007,47,KWS,B5,R3,178.6,35.7,290,80,80,92
CFD06-336,CFD06,F353 x F252,UH007,48,KWS,B5,R3,204.4,34.4,310,83,83,89
CFD06-058,CFD06,F353 x F252,UH007,49,KWS,B5,R3,225.1,32.5,310,84,85,85
CFD07-304,CFD07,F353 x F618,UH007,50,KWS,B5,R3,218.3,30.3,310,83,83,95
CFD08-325,CFD08,F353 x F98902,UH007,51,KWS,B6,R3,235.4,31.5,315,84,83,96
CFD06-335,CFD06,F353 x F252,UH007,52,KWS,B6,R3,198.6,29.9,305,83,85,86
CFD03-321,CFD03,F353 x D06,UH007,53,KWS,B6,R3,216.3,31.7,305,83,85,95
CFD04-345,CFD04,F353 x D09,UH007,54,KWS,B6,R3,215.6,32.1,310,87,87,92
CFD06-023,CFD06,F353 x F252,UH007,55,KWS,B6,R3,210,34.8,310,82,82,91
CFD03-304,CFD03,F353 x D06,UH007,56,KWS,B6,R3,201.4,33.3,300,83,82,93
CFD06-037,CFD06,F353 x F252,UH007,57,KWS,B6,R3,202.7,34.7,300,82,80,92
CFD09-329,CFD09,F353 x Mo17,UH007,58,KWS,B6,R3,193.9,29,310,87,89,92
CFD12-303,CFD12,F353 x W117,UH007,59,KWS,B6,R3,193.7,34.8,290,81,81,83
CFD10-004,CFD10,F353 x UH250,UH007,60,KWS,B6,R3,235.3,33.2,310,87,87,91
